ensembl_transcript_id_version,gene_name
ENST00000400191,EPHB2
ENST00000374632,EPHB2
ENST00000374627,EPHB2
ENST00000426928,LACTBL1
ENST00000618559,LACTBL1
ENST00000566855,TEX46
ENST00000622840,TEX46
ENST00000465864,KDM1A
ENST00000356634,KDM1A
ENST00000400181,KDM1A
ENST00000418342,LUZP1
ENST00000302291,LUZP1
ENST00000314174,LUZP1
ENST00000374619,HTR1D
ENST000003022711,HNRNPR
ENST00000478691,HNRNPR
ENST00000374616,HNRNPR
ENST00000374612,HNRNPR
ENST00000675048,HNRNPR
ENST00000606561,HNRNPR
ENST00000427764,HNRNPR
ENST00000314011,ZNF436
ENST00000374608,ZNF436
ENST00000450454,TCEA3
ENST00000374601,TCEA3
ENST00000461794,TCEA3
ENST00000495646,ASAP3
ENST00000336689,ASAP3
ENST00000618240,ASAP3
ENST00000437606,ASAP3
ENST00000361729,E2F2
ENST00000374561,ID3
ENST00000374550,RPL11
ENST00000643754,RPL11
ENST00000458455,RPL11
ENST00000418390,ELOA
ENST00000613537,ELOA
ENST00000609199,ELOA
ENST00000246151,PITHD1
ENST00000374524,PITHD1
ENST00000374514,LYPLA2
ENST00000374505,LYPLA2
ENST00000374503,LYPLA2
ENST00000374502,LYPLA2
ENST00000374501,LYPLA2
ENST00000617979,GALE
ENST00000374497,GALE
ENST00000374490,HMGCL
ENST00000436439,HMGCL
ENST00000374479,FUCA1
ENST00000374472,CNR2
ENST00000647887,PNRC2
ENST00000374468,PNRC2
ENST00000334351,PNRC2
ENST00000579103,PNRC2
ENST00000492112,SRSF10
ENST000003449890,SRSF10
ENST00000453840,SRSF10
ENST00000484146,SRSF10
ENST00000374452,SRSF10
ENST00000374453,SRSF10
ENST00000343255,SRSF10
ENST00000338909,MYOM3
ENST00000374434,MYOM3
ENST00000270800,IL22RA1
ENST00000327535,IFNLR1
ENST00000327575,IFNLR1
ENST00000374421,IFNLR1
ENST00000374419,IFNLR1
ENST00000374418,IFNLR1
ENST00000361548,GRHL3
ENST00000350501,GRHL3
ENST00000356046,GRHL3
ENST00000236255,GRHL3
ENST00000337248,STPG1
ENST00000374409,STPG1
ENST000000035832,STPG1
ENST00000374399,NIPAL3
ENST00000003912,NIPAL3
ENST00000358028,NIPAL3
ENST00000339255,NIPAL3
ENST00000538532,RCAN3
ENST00000618490,RCAN3
ENST00000374395,RCAN3
ENST00000436717,RCAN3
ENST00000616511,RCAN3
ENST00000425530,RCAN3
ENST00000412742,RCAN3
ENST00000630217,RCAN3
ENST00000374393,RCAN3
ENST00000374392,NCMAP
ENST00000374389,SRRM1
ENST000003238484,SRRM1
ENST00000447431,SRRM1
ENST00000374379,CLIC4
ENST000003088731,RUNX3
ENST00000399916,RUNX3
ENST00000338888,RUNX3
ENST00000236273,SYF2
ENST00000354361,SYF2
ENST000002431892,RSRP1
